,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.007511300000004439,3622.9997081401716,200.0,True,200,0.05,100
1,1,0.10916329999999164,3976.126313144715,402.0,True,200,0.05,100
2,2,0.2083913000000024,4021.8545016735343,604.0,True,200,0.05,100
3,3,0.3117713999999978,4084.739148379222,806.0,True,200,0.05,100
4,4,0.424783000000005,4115.316018458177,1008.0,True,200,0.05,100
5,5,0.5327786999999944,4121.548447568997,1210.0,True,200,0.05,100
6,6,0.638268999999994,4121.548447568997,1411.0,True,200,0.05,100
7,7,0.7489664999999945,4121.548447568997,1612.0,True,200,0.05,100
8,8,1.129800000000003,4121.548447568997,1813.0,True,200,0.05,100
9,9,1.6604707000000047,4121.548447568997,2014.0,True,200,0.05,100
10,10,2.178586800000005,4121.548447568997,2215.0,True,200,0.05,100
11,11,2.6927598999999987,4121.548447568997,2416.0,True,200,0.05,100
12,12,3.195774,4121.548447568997,2617.0,True,200,0.05,100
13,13,3.6803000999999966,4121.548447568997,2818.0,True,200,0.05,100
14,14,4.177367199999992,4121.548447568997,3019.0,True,200,0.05,100
15,15,4.663559699999993,4121.548447568997,3220.0,True,200,0.05,100
16,16,5.158512900000005,4121.548447568997,3421.0,True,200,0.05,100
17,17,5.628334499999994,4121.548447568997,3622.0,True,200,0.05,100
18,18,6.093355299999999,4121.548447568997,3823.0,True,200,0.05,100
19,19,6.555466800000005,4121.548447568997,4024.0,True,200,0.05,100
20,20,7.027107299999997,4121.548447568997,4225.0,True,200,0.05,100
21,21,7.494379100000003,4121.548447568997,4426.0,True,200,0.05,100
22,22,7.961227499999993,4121.548447568997,4627.0,True,200,0.05,100
23,23,8.450687399999993,4121.548447568997,4828.0,True,200,0.05,100
24,24,8.944092799999993,4121.548447568997,5029.0,True,200,0.05,100
25,25,9.428458300000003,4121.548447568997,5230.0,True,200,0.05,100
26,26,9.894433399999997,4121.548447568997,5431.0,True,200,0.05,100
27,27,10.365926000000002,4121.548447568997,5632.0,True,200,0.05,100
28,28,10.841798299999994,4121.548447568997,5833.0,True,200,0.05,100
29,29,11.332085500000005,4121.548447568997,6034.0,True,200,0.05,100
30,30,11.802586099999985,4121.548447568997,6235.0,True,200,0.05,100
31,31,12.293164899999994,4121.548447568997,6436.0,True,200,0.05,100
32,32,12.787982999999997,4121.548447568997,6637.0,True,200,0.05,100
33,33,13.276477599999993,4121.548447568997,6838.0,True,200,0.05,100
34,34,13.760445900000008,4121.548447568997,7039.0,True,200,0.05,100
35,35,14.237012399999998,4121.548447568997,7240.0,True,200,0.05,100
36,36,14.699401099999989,4121.548447568997,7441.0,True,200,0.05,100
37,37,15.166865300000012,4121.548447568997,7642.0,True,200,0.05,100
38,38,15.631016200000005,4121.548447568997,7843.0,True,200,0.05,100
39,39,16.10834030000001,4121.548447568997,8044.0,True,200,0.05,100
40,40,16.57410619999999,4121.548447568997,8245.0,True,200,0.05,100
41,41,17.06334609999999,4121.548447568997,8446.0,True,200,0.05,100
42,42,17.531201699999997,4121.548447568997,8647.0,True,200,0.05,100
43,43,18.0216504,4121.548447568997,8848.0,True,200,0.05,100
44,44,18.486229699999996,4121.548447568997,9049.0,True,200,0.05,100
45,45,18.954057199999994,4121.548447568997,9250.0,True,200,0.05,100
46,46,19.439558699999992,4121.548447568997,9451.0,True,200,0.05,100
47,47,19.909680199999997,4121.548447568997,9652.0,True,200,0.05,100
48,48,20.371953899999994,4121.548447568997,9853.0,True,200,0.05,100
49,49,20.854679799999985,4121.548447568997,10054.0,True,200,0.05,100
50,50,21.329616399999992,4121.548447568997,10255.0,True,200,0.05,100
51,51,21.794453000000004,4121.548447568997,10456.0,True,200,0.05,100
52,52,22.282721699999996,4121.548447568997,10657.0,True,200,0.05,100
53,53,22.763798500000007,4121.548447568997,10858.0,True,200,0.05,100
54,54,23.227289899999988,4121.548447568997,11059.0,True,200,0.05,100
55,55,23.715565999999995,4121.548447568997,11260.0,True,200,0.05,100
56,56,24.186773399999993,4121.548447568997,11461.0,True,200,0.05,100
57,57,24.655892599999987,4121.548447568997,11662.0,True,200,0.05,100
58,58,25.139924000000008,4121.548447568997,11863.0,True,200,0.05,100
59,59,25.605291599999987,4121.548447568997,12064.0,True,200,0.05,100
60,60,26.0744052,4121.548447568997,12265.0,True,200,0.05,100
61,61,26.543904499999996,4121.548447568997,12466.0,True,200,0.05,100
62,62,27.031532199999987,4121.548447568997,12667.0,True,200,0.05,100
63,63,27.50061679999999,4121.548447568997,12868.0,True,200,0.05,100
64,64,27.9678974,4121.548447568997,13069.0,True,200,0.05,100
65,65,28.431076200000007,4121.548447568997,13270.0,True,200,0.05,100
66,66,28.9056832,4121.548447568997,13471.0,True,200,0.05,100
67,67,29.3949054,4121.548447568997,13672.0,True,200,0.05,100
68,68,29.887209899999988,4121.548447568997,13873.0,True,200,0.05,100
69,69,30.38237699999999,4121.548447568997,14074.0,True,200,0.05,100
70,70,30.854426499999988,4121.548447568997,14275.0,True,200,0.05,100
71,71,31.329512099999988,4121.548447568997,14476.0,True,200,0.05,100
72,72,31.79966379999999,4121.548447568997,14677.0,True,200,0.05,100
73,73,32.28250259999999,4121.548447568997,14878.0,True,200,0.05,100
74,74,32.773587599999985,4121.548447568997,15079.0,True,200,0.05,100
75,75,33.25661529999999,4121.548447568997,15280.0,True,200,0.05,100
76,76,33.72288,4121.548447568997,15481.0,True,200,0.05,100
77,77,34.1992989,4121.548447568997,15682.0,True,200,0.05,100
78,78,34.67224060000001,4121.548447568997,15883.0,True,200,0.05,100
79,79,35.148702799999995,4121.548447568997,16084.0,True,200,0.05,100
80,80,35.6226322,4121.548447568997,16285.0,True,200,0.05,100
81,81,36.09008420000001,4121.548447568997,16486.0,True,200,0.05,100
82,82,36.57635730000001,4121.548447568997,16687.0,True,200,0.05,100
83,83,37.03965980000001,4121.548447568997,16888.0,True,200,0.05,100
84,84,37.502644599999996,4121.548447568997,17089.0,True,200,0.05,100
85,85,37.968465699999996,4121.548447568997,17290.0,True,200,0.05,100
86,86,38.43305839999999,4121.548447568997,17491.0,True,200,0.05,100
87,87,38.896614400000004,4121.548447568997,17692.0,True,200,0.05,100
88,88,39.35875820000001,4121.548447568997,17893.0,True,200,0.05,100
89,89,39.8282485,4121.548447568997,18094.0,True,200,0.05,100
90,90,40.31508959999999,4121.548447568997,18295.0,True,200,0.05,100
91,91,40.7983208,4121.548447568997,18496.0,True,200,0.05,100
92,92,41.27641689999999,4121.548447568997,18697.0,True,200,0.05,100
93,93,41.76660430000001,4121.548447568997,18898.0,True,200,0.05,100
94,94,42.2351936,4121.548447568997,19099.0,True,200,0.05,100
95,95,42.70610529999999,4121.548447568997,19300.0,True,200,0.05,100
96,96,43.17138840000001,4121.548447568997,19501.0,True,200,0.05,100
97,97,43.635953400000005,4121.548447568997,19702.0,True,200,0.05,100
98,98,44.10314159999999,4121.548447568997,19903.0,True,200,0.05,100
99,99,44.56753090000001,4121.548447568997,20104.0,True,200,0.05,100
100,100,45.03568999999999,4121.548447568997,20305.0,True,200,0.05,100
101,0,0.007511300000004439,3622.9997081401716,200.0,True,200,0.1,100
102,1,0.10916329999999164,3941.584138501348,402.0,True,200,0.1,100
103,2,0.2083913000000024,3996.4739546249534,604.0,True,200,0.1,100
104,3,0.3117713999999978,4115.088773525209,806.0,True,200,0.1,100
105,4,0.424783000000005,4166.459606254599,1008.0,True,200,0.1,100
106,5,0.5327786999999944,4166.459606254599,1209.0,True,200,0.1,100
107,6,0.638268999999994,4256.382989111262,1411.0,True,200,0.1,100
108,7,0.7489664999999945,4256.382989111262,1612.0,True,200,0.1,100
109,8,1.129800000000003,4284.221417753115,1814.0,True,200,0.1,100
110,9,1.6604707000000047,4284.221417753115,2015.0,True,200,0.1,100
111,10,2.178586800000005,4291.026207058131,2217.0,True,200,0.1,100
112,11,2.6927598999999987,4297.679543790585,2419.0,True,200,0.1,100
113,12,3.195774,4297.679543790585,2620.0,True,200,0.1,100
114,13,3.6803000999999966,4297.679543790585,2821.0,True,200,0.1,100
115,14,4.177367199999992,4297.679543790585,3022.0,True,200,0.1,100
116,15,4.663559699999993,4297.679543790585,3223.0,True,200,0.1,100
117,16,5.158512900000005,4297.679543790585,3424.0,True,200,0.1,100
118,17,5.628334499999994,4297.679543790585,3625.0,True,200,0.1,100
119,18,6.093355299999999,4297.679543790585,3826.0,True,200,0.1,100
