,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.010297600000058083,491.0,20.0,20,0.1,200
1,1,0.029675600000018676,501.0,42.0,20,0.1,200
2,2,0.040759100000059334,501.0,63.0,20,0.1,200
3,3,0.051838800000041374,501.0,84.0,20,0.1,200
4,4,0.06289040000001478,502.0,106.0,20,0.1,200
5,5,0.07417719999989458,502.0,127.0,20,0.1,200
6,6,0.08531429999993634,502.0,148.0,20,0.1,200
7,7,0.0959120999998504,502.0,169.0,20,0.1,200
8,8,0.1071034999999938,502.0,190.0,20,0.1,200
9,9,0.1181635999998889,502.0,211.0,20,0.1,200
10,10,0.12920069999995576,503.0,233.0,20,0.1,200
11,11,0.1401951000000281,503.0,254.0,20,0.1,200
12,12,0.15117540000005647,503.0,275.0,20,0.1,200
13,13,0.16227890000004663,505.0,297.0,20,0.1,200
14,14,0.17341259999989234,505.0,318.0,20,0.1,200
15,15,0.1850558999999521,506.0,340.0,20,0.1,200
16,16,0.1956963000000087,506.0,361.0,20,0.1,200
17,17,0.20688689999997223,506.0,382.0,20,0.1,200
18,18,0.21850369999992836,507.0,404.0,20,0.1,200
19,19,0.2291751000000204,507.0,425.0,20,0.1,200
20,20,0.24095940000006522,507.0,446.0,20,0.1,200
21,21,0.25335470000004534,508.0,468.0,20,0.1,200
22,22,0.2645261999998638,508.0,489.0,20,0.1,200
23,23,0.275652399999899,508.0,510.0,20,0.1,200
24,24,0.28716659999986405,508.0,531.0,20,0.1,200
25,25,0.29825849999997445,508.0,552.0,20,0.1,200
26,26,0.3097635999999966,508.0,573.0,20,0.1,200
27,27,0.32075349999990976,508.0,594.0,20,0.1,200
28,28,0.3318534999998519,509.0,616.0,20,0.1,200
29,29,0.34297960000003513,509.0,637.0,20,0.1,200
30,30,0.3541662999998607,509.0,658.0,20,0.1,200
31,31,0.3654460000000199,509.0,679.0,20,0.1,200
32,32,0.37723639999990155,509.0,700.0,20,0.1,200
33,33,0.38908139999989544,510.0,722.0,20,0.1,200
34,34,0.4006099999999151,510.0,743.0,20,0.1,200
35,35,0.4111264000000574,510.0,764.0,20,0.1,200
36,36,0.42236909999996897,510.0,785.0,20,0.1,200
37,37,0.43326759999990827,510.0,806.0,20,0.1,200
38,38,0.44391449999989163,510.0,827.0,20,0.1,200
39,39,0.4547717000000375,510.0,848.0,20,0.1,200
40,40,0.4654481999998552,510.0,869.0,20,0.1,200
41,41,0.4767573999999968,511.0,891.0,20,0.1,200
42,42,0.48755839999989803,511.0,912.0,20,0.1,200
43,43,0.49888050000004114,512.0,934.0,20,0.1,200
44,44,0.5098379999999452,512.0,955.0,20,0.1,200
45,45,0.522720100000015,512.0,976.0,20,0.1,200
