,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.024818400000015117,489.0,50.0,True,50,0.1,200
1,1,0.2774008999999751,502.0,102.0,True,50,0.1,200
2,2,0.5164436000000023,502.0,153.0,True,50,0.1,200
3,3,0.815438400000005,502.0,204.0,True,50,0.1,200
4,4,1.118552799999975,502.0,255.0,True,50,0.1,200
5,5,1.4283224999999788,502.0,306.0,True,50,0.1,200
6,6,1.7405145000000175,502.0,357.0,True,50,0.1,200
7,7,2.0568413000000305,502.0,408.0,True,50,0.1,200
8,8,2.372755400000017,502.0,459.0,True,50,0.1,200
9,9,2.6871868000000063,502.0,510.0,True,50,0.1,200
10,10,3.0010434000000146,502.0,561.0,True,50,0.1,200
11,11,3.312162600000022,502.0,612.0,True,50,0.1,200
12,12,3.620603899999992,502.0,663.0,True,50,0.1,200
13,13,3.92541540000002,502.0,714.0,True,50,0.1,200
14,14,4.22859729999999,502.0,765.0,True,50,0.1,200
15,15,4.532688399999984,502.0,816.0,True,50,0.1,200
16,16,4.837232299999982,502.0,867.0,True,50,0.1,200
17,17,5.138787900000011,502.0,918.0,True,50,0.1,200
18,18,5.441929099999982,502.0,969.0,True,50,0.1,200
19,19,5.743687899999998,502.0,1020.0,True,50,0.1,200
20,20,6.044288900000026,502.0,1071.0,True,50,0.1,200
21,21,6.348792000000003,502.0,1122.0,True,50,0.1,200
22,22,6.6525131000000215,502.0,1173.0,True,50,0.1,200
23,23,6.95599500000003,502.0,1224.0,True,50,0.1,200
24,24,7.258268600000008,502.0,1275.0,True,50,0.1,200
25,25,7.570267399999977,502.0,1326.0,True,50,0.1,200
26,26,7.891043400000001,502.0,1377.0,True,50,0.1,200
27,27,8.204744300000016,502.0,1428.0,True,50,0.1,200
28,28,8.516372499999989,502.0,1479.0,True,50,0.1,200
29,29,8.830199100000016,502.0,1530.0,True,50,0.1,200
30,30,9.140926700000023,502.0,1581.0,True,50,0.1,200
31,31,9.44408450000003,502.0,1632.0,True,50,0.1,200
32,32,9.756087499999978,502.0,1683.0,True,50,0.1,200
33,33,10.068403999999987,502.0,1734.0,True,50,0.1,200
34,34,10.382993399999975,502.0,1785.0,True,50,0.1,200
35,35,10.700056500000017,502.0,1836.0,True,50,0.1,200
36,36,11.015081199999997,502.0,1887.0,True,50,0.1,200
37,37,11.326199099999997,502.0,1938.0,True,50,0.1,200
38,38,11.638884700000006,502.0,1989.0,True,50,0.1,200
39,39,11.95195910000001,502.0,2040.0,True,50,0.1,200
40,40,12.266425099999992,502.0,2091.0,True,50,0.1,200
41,41,12.575243100000023,502.0,2142.0,True,50,0.1,200
42,42,12.88848250000001,502.0,2193.0,True,50,0.1,200
43,43,13.199512599999991,502.0,2244.0,True,50,0.1,200
44,44,13.50727599999999,502.0,2295.0,True,50,0.1,200
45,45,13.81144039999998,502.0,2346.0,True,50,0.1,200
46,46,14.120800000000031,502.0,2397.0,True,50,0.1,200
47,47,14.42836520000003,502.0,2448.0,True,50,0.1,200
48,48,14.733302200000026,502.0,2499.0,True,50,0.1,200
49,49,15.032329000000004,502.0,2550.0,True,50,0.1,200
50,50,15.333203000000026,502.0,2601.0,True,50,0.1,200
51,51,15.632793900000024,502.0,2652.0,True,50,0.1,200
52,52,15.931175800000005,502.0,2703.0,True,50,0.1,200
53,53,16.230502699999988,502.0,2754.0,True,50,0.1,200
54,54,16.530504699999995,502.0,2805.0,True,50,0.1,200
55,55,16.829985399999998,502.0,2856.0,True,50,0.1,200
56,56,17.130113800000004,502.0,2907.0,True,50,0.1,200
57,57,17.429813500000023,502.0,2958.0,True,50,0.1,200
58,58,17.732058600000016,502.0,3009.0,True,50,0.1,200
59,59,18.03192919999998,502.0,3060.0,True,50,0.1,200
60,60,18.33371790000001,502.0,3111.0,True,50,0.1,200
61,61,18.6357261,502.0,3162.0,True,50,0.1,200
62,62,18.944338000000016,502.0,3213.0,True,50,0.1,200
63,63,19.25430019999999,502.0,3264.0,True,50,0.1,200
64,64,19.55778220000002,502.0,3315.0,True,50,0.1,200
65,65,19.864041299999997,502.0,3366.0,True,50,0.1,200
66,66,20.176930400000003,502.0,3417.0,True,50,0.1,200
67,67,20.480454399999985,502.0,3468.0,True,50,0.1,200
68,68,20.786877600000025,502.0,3519.0,True,50,0.1,200
69,69,21.099986399999977,502.0,3570.0,True,50,0.1,200
70,70,21.408683699999983,502.0,3621.0,True,50,0.1,200
71,71,21.71415350000001,502.0,3672.0,True,50,0.1,200
72,72,22.016166399999975,502.0,3723.0,True,50,0.1,200
73,73,22.31899900000002,502.0,3774.0,True,50,0.1,200
74,74,22.619441300000005,502.0,3825.0,True,50,0.1,200
75,75,22.918214200000023,502.0,3876.0,True,50,0.1,200
76,76,23.224979099999985,502.0,3927.0,True,50,0.1,200
77,77,23.530442499999992,502.0,3978.0,True,50,0.1,200
78,78,23.830725400000006,502.0,4029.0,True,50,0.1,200
79,79,24.1316109,502.0,4080.0,True,50,0.1,200
80,80,24.431973099999993,502.0,4131.0,True,50,0.1,200
81,81,24.73159320000002,502.0,4182.0,True,50,0.1,200
82,82,25.044494799999995,502.0,4233.0,True,50,0.1,200
83,83,25.346452499999998,502.0,4284.0,True,50,0.1,200
84,84,25.64630840000001,502.0,4335.0,True,50,0.1,200
85,85,25.9464878,502.0,4386.0,True,50,0.1,200
86,86,26.246777899999984,502.0,4437.0,True,50,0.1,200
87,87,26.54714580000001,502.0,4488.0,True,50,0.1,200
88,88,26.85581780000001,502.0,4539.0,True,50,0.1,200
89,89,27.156666200000018,502.0,4590.0,True,50,0.1,200
90,90,27.465330300000005,502.0,4641.0,True,50,0.1,200
91,91,27.776498800000013,502.0,4692.0,True,50,0.1,200
92,92,28.089536199999998,502.0,4743.0,True,50,0.1,200
93,93,28.403224599999987,502.0,4794.0,True,50,0.1,200
94,94,28.712856199999976,502.0,4845.0,True,50,0.1,200
95,95,29.02263579999999,502.0,4896.0,True,50,0.1,200
96,96,29.334352799999976,502.0,4947.0,True,50,0.1,200
97,97,29.6471176,502.0,4998.0,True,50,0.1,200
98,98,29.95918419999998,502.0,5049.0,True,50,0.1,200
99,99,30.26590970000001,502.0,5100.0,True,50,0.1,200
100,100,30.57450560000001,502.0,5151.0,True,50,0.1,200
101,101,30.875616700000023,502.0,5202.0,True,50,0.1,200
102,0,0.024818400000015117,489.0,50.0,True,50,0.4,200
103,1,0.2774008999999751,501.0,102.0,True,50,0.4,200
104,2,0.5164436000000023,506.0,154.0,True,50,0.4,200
105,3,0.815438400000005,506.0,205.0,True,50,0.4,200
106,4,1.118552799999975,506.0,256.0,True,50,0.4,200
107,5,1.4283224999999788,506.0,307.0,True,50,0.4,200
108,6,1.7405145000000175,506.0,358.0,True,50,0.4,200
109,7,2.0568413000000305,506.0,409.0,True,50,0.4,200
110,8,2.372755400000017,506.0,460.0,True,50,0.4,200
111,9,2.6871868000000063,506.0,511.0,True,50,0.4,200
112,10,3.0010434000000146,506.0,562.0,True,50,0.4,200
113,11,3.312162600000022,506.0,613.0,True,50,0.4,200
114,12,3.620603899999992,506.0,664.0,True,50,0.4,200
115,13,3.92541540000002,506.0,715.0,True,50,0.4,200
116,14,4.22859729999999,506.0,766.0,True,50,0.4,200
117,15,4.532688399999984,506.0,817.0,True,50,0.4,200
118,16,4.837232299999982,506.0,868.0,True,50,0.4,200
119,17,5.138787900000011,506.0,919.0,True,50,0.4,200
120,18,5.441929099999982,506.0,970.0,True,50,0.4,200
121,19,5.743687899999998,506.0,1021.0,True,50,0.4,200
122,20,6.044288900000026,506.0,1072.0,True,50,0.4,200
123,21,6.348792000000003,506.0,1123.0,True,50,0.4,200
124,22,6.6525131000000215,508.0,1175.0,True,50,0.4,200
125,23,6.95599500000003,509.0,1227.0,True,50,0.4,200
126,24,7.258268600000008,509.0,1278.0,True,50,0.4,200
127,25,7.570267399999977,509.0,1329.0,True,50,0.4,200
128,26,7.891043400000001,509.0,1380.0,True,50,0.4,200
129,27,8.204744300000016,510.0,1432.0,True,50,0.4,200
