,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,489.0,50,0.024818400000015117,"[20, 7, 24, 2, 18, 9, 3, 19, 14, 13, 31, 12, 11, 22, 16, 16, 16, 20, 24, 19, 23, 9, 19, 7, 10, 3, 7, 18, 17, 3, 22, 26, 32]",True,50,0.1,200
1,200,502.0,5202,30.875616700000023,"[3.0, 20.0, 13.0, 19.0, 31.0, 1.0, 12.0, 14.0, 7.0, 18.0, 3.0, 28.0, 16.0, 15.0, 0.0, 19.0, 25.0, 2.0, 15.0, 20.0, 1.0, 23.0, 21.0, 10.0, 7.0, 6.0, 4.0, 26.0, 27.0, 11.0, 30.0, 25.0, 0.0]",True,50,0.1,200
2,0,489.0,50,0.023711999999989075,"[20, 7, 24, 2, 18, 9, 3, 19, 14, 13, 31, 12, 11, 22, 16, 16, 16, 20, 24, 19, 23, 9, 19, 7, 10, 3, 7, 18, 17, 3, 22, 26, 32]",True,50,0.4,200
3,200,513.0,8319,50.260634900000014,"[5.0, 25.0, 29.0, 0.0, 15.0, 3.0, 1.0, 16.0, 20.0, 12.0, 30.0, 22.0, 4.0, 9.0, 30.0, 6.0, 2.0, 17.0, 7.0, 8.0, 26.0, 20.0, 32.0, 25.0, 31.0, 9.0, 11.0, 23.0, 2.0, 13.0, 5.0, 26.0, 14.0]",True,50,0.4,200
4,0,489.0,50,0.024839600000007067,"[20, 7, 24, 2, 18, 9, 3, 19, 14, 13, 31, 12, 11, 22, 16, 16, 16, 20, 24, 19, 23, 9, 19, 7, 10, 3, 7, 18, 17, 3, 22, 26, 32]",True,50,0.8,200
5,200,505.0,5357,32.99794909999997,"[17.0, 19.0, 30.0, 2.0, 7.0, 9.0, 29.0, 24.0, 20.0, 14.0, 24.0, 32.0, 22.0, 23.0, 8.0, 21.0, 25.0, 30.0, 13.0, 25.0, 22.0, 4.0, 26.0, 1.0, 31.0, 13.0, 14.0, 17.0, 1.0, 6.0, 16.0, 1.0, 12.0]",True,50,0.8,200
6,0,489.0,100,0.05032749999998032,"[20, 7, 24, 2, 18, 9, 3, 19, 14, 13, 31, 12, 11, 22, 16, 16, 16, 20, 24, 19, 23, 9, 19, 7, 10, 3, 7, 18, 17, 3, 22, 26, 32]",True,100,0.1,200
7,200,505.0,10302,41.92224239999996,"[13.0, 26.0, 19.0, 4.0, 2.0, 25.0, 4.0, 21.0, 29.0, 5.0, 3.0, 21.0, 24.0, 16.0, 19.0, 6.0, 18.0, 27.0, 15.0, 7.0, 19.0, 5.0, 16.0, 18.0, 0.0, 20.0, 28.0, 4.0, 7.0, 14.0, 27.0, 20.0, 15.0]",True,100,0.1,200
8,0,489.0,100,0.0470225000000255,"[20, 7, 24, 2, 18, 9, 3, 19, 14, 13, 31, 12, 11, 22, 16, 16, 16, 20, 24, 19, 23, 9, 19, 7, 10, 3, 7, 18, 17, 3, 22, 26, 32]",True,100,0.4,200
9,200,507.0,18788,76.1187744,"[10.0, 13.0, 28.0, 24.0, 7.0, 22.0, 0.0, 2.0, 19.0, 28.0, 24.0, 30.0, 17.0, 20.0, 3.0, 1.0, 6.0, 4.0, 11.0, 21.0, 8.0, 16.0, 32.0, 15.0, 14.0, 0.0, 25.0, 4.0, 17.0, 31.0, 16.0, 15.0, 12.0]",True,100,0.4,200
