,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,489.0,0,0.0015390999997180188,"[20, 7, 24, 2, 18, 9, 3, 19, 14, 13, 31, 12, 11, 22, 16, 16, 16, 20, 24, 19, 23, 9, 19, 7, 10, 3, 7, 18, 17, 3, 22, 26, 32]",10,500,0
1,500,521.0,470,0.29738849999921513,"[2, 6, 27, 1, 8, 15, 3, 19, 0, 13, 31, 25, 11, 22, 29, 4, 1, 20, 24, 19, 28, 0, 9, 16, 10, 15, 7, 23, 5, 17, 21, 26, 32]",10,500,0
2,0,479.0,470,0.3071740999985195,"[6, 20, 25, 16, 20, 13, 0, 2, 24, 29, 18, 23, 20, 25, 8, 7, 28, 26, 14, 15, 28, 25, 16, 24, 10, 10, 6, 13, 12, 25, 22, 30, 17]",10,500,1
3,500,523.0,910,0.6570355999992898,"[21, 20, 25, 16, 9, 11, 0, 2, 6, 29, 18, 1, 30, 17, 15, 7, 28, 26, 14, 32, 3, 25, 19, 1, 10, 24, 13, 8, 12, 4, 23, 31, 5]",10,500,1
4,0,491.0,910,0.668670299999576,"[2, 1, 9, 13, 9, 27, 31, 20, 20, 2, 15, 13, 2, 3, 14, 27, 17, 23, 19, 3, 14, 20, 18, 23, 25, 29, 17, 22, 29, 7, 17, 0, 26]",10,500,2
5,500,520.0,1402,1.1780823999997665,"[5, 1, 15, 22, 18, 27, 31, 28, 20, 2, 17, 13, 0, 3, 32, 23, 8, 26, 16, 4, 31, 24, 11, 32, 25, 29, 21, 12, 25, 7, 10, 0, 16]",10,500,2
6,0,491.0,1402,1.1918317999989085,"[20, 13, 3, 13, 19, 30, 21, 25, 24, 12, 13, 30, 12, 6, 13, 4, 8, 22, 6, 7, 29, 8, 23, 4, 13, 17, 31, 1, 9, 15, 2, 15, 22]",10,500,3
7,500,518.0,1667,1.5006144999988464,"[20, 17, 3, 13, 19, 30, 32, 25, 5, 12, 17, 30, 21, 6, 11, 21, 8, 13, 16, 7, 28, 10, 23, 16, 18, 4, 31, 1, 9, 15, 2, 15, 22]",10,500,3
8,0,488.0,1667,1.5146544999988691,"[30, 17, 18, 7, 30, 13, 7, 19, 2, 4, 0, 12, 12, 2, 21, 16, 23, 30, 30, 3, 6, 15, 32, 10, 12, 32, 2, 17, 4, 2, 22, 15, 9]",10,500,4
9,500,520.0,2132,2.136662699998851,"[30, 3, 18, 7, 30, 13, 11, 19, 32, 28, 0, 25, 27, 12, 21, 16, 29, 2, 11, 8, 6, 15, 32, 10, 4, 31, 17, 5, 31, 13, 22, 26, 9]",10,500,4
10,0,496.0,2132,2.1535893000000215,"[31, 21, 1, 19, 4, 10, 14, 6, 29, 17, 20, 24, 32, 0, 11, 21, 27, 29, 14, 12, 3, 19, 4, 25, 20, 26, 20, 13, 19, 1, 23, 4, 14]",10,500,5
