,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
0,0,489.0,0,0.0015679999996791594,"[20, 7, 24, 2, 18, 9, 3, 19, 14, 13, 31, 12, 11, 22, 16, 16, 16, 20, 24, 19, 23, 9, 19, 7, 10, 3, 7, 18, 17, 3, 22, 26, 32]",geometric,0.05,0.99,0.001,0.04999921205987781,0.05,500,
1,500,524.0,588,0.3674280000013823,"[17, 28, 7, 29, 2, 21, 12, 26, 0, 18, 3, 5, 11, 27, 24, 0, 15, 19, 31, 16, 24, 1, 25, 30, 10, 14, 4, 23, 9, 13, 18, 32, 22]",geometric,0.05,0.99,0.001,0.049815701755290535,0.05,500,
2,0,489.0,0,0.0009831999996094964,"[20, 7, 24, 2, 18, 9, 3, 19, 14, 13, 31, 12, 11, 22, 16, 16, 16, 20, 24, 19, 23, 9, 19, 7, 10, 3, 7, 18, 17, 3, 22, 26, 32]",exponential,0.05,,0.001,0.04999975420060428,0.05,500,0.005
3,500,524.0,588,0.3900385999986611,"[17, 28, 7, 29, 2, 21, 12, 26, 0, 18, 3, 5, 11, 27, 24, 0, 15, 19, 31, 16, 24, 1, 25, 30, 10, 14, 4, 23, 9, 13, 18, 32, 22]",exponential,0.05,,0.001,0.04990258536953992,0.05,500,0.005
4,0,489.0,0,0.0010309999997843988,"[20, 7, 24, 2, 18, 9, 3, 19, 14, 13, 31, 12, 11, 22, 16, 16, 16, 20, 24, 19, 23, 9, 19, 7, 10, 3, 7, 18, 17, 3, 22, 26, 32]",arithmetic,0.05,0.0001,0.001,0.04999989690000002,0.05,500,
5,500,524.0,588,0.37892070000089006,"[17, 28, 7, 29, 2, 21, 12, 26, 0, 18, 3, 5, 11, 27, 24, 0, 15, 19, 31, 16, 24, 1, 25, 30, 10, 14, 4, 23, 9, 13, 18, 32, 22]",arithmetic,0.05,0.0001,0.001,0.049962107929999916,0.05,500,
6,0,489.0,0,0.0009766000002855435,"[20, 7, 24, 2, 18, 9, 3, 19, 14, 13, 31, 12, 11, 22, 16, 16, 16, 20, 24, 19, 23, 9, 19, 7, 10, 3, 7, 18, 17, 3, 22, 26, 32]",geometric,0.1,0.99,0.001,0.09999901848901711,0.1,500,
7,500,524.0,588,0.3891727999980503,"[17, 28, 7, 29, 2, 21, 12, 26, 0, 18, 3, 5, 11, 27, 24, 0, 15, 19, 31, 16, 24, 1, 25, 30, 10, 14, 4, 23, 9, 13, 18, 32, 22]",geometric,0.1,0.99,0.001,0.09960963218935845,0.1,500,
8,0,489.0,0,0.0009511999996902887,"[20, 7, 24, 2, 18, 9, 3, 19, 14, 13, 31, 12, 11, 22, 16, 16, 16, 20, 24, 19, 23, 9, 19, 7, 10, 3, 7, 18, 17, 3, 22, 26, 32]",exponential,0.1,,0.001,0.09999952440113113,0.1,500,0.005
9,500,524.0,588,0.3922160000001895,"[17, 28, 7, 29, 2, 21, 12, 26, 0, 18, 3, 5, 11, 27, 24, 0, 15, 19, 31, 16, 24, 1, 25, 30, 10, 14, 4, 23, 9, 13, 18, 32, 22]",exponential,0.1,,0.001,0.09980408416610001,0.1,500,0.005
10,0,489.0,0,0.0009976999972423073,"[20, 7, 24, 2, 18, 9, 3, 19, 14, 13, 31, 12, 11, 22, 16, 16, 16, 20, 24, 19, 23, 9, 19, 7, 10, 3, 7, 18, 17, 3, 22, 26, 32]",arithmetic,0.1,0.0001,0.001,0.09999990023000029,0.1,500,
