,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0014656999999829168,25.0,20.0,True,20,0.05,200
1,1,0.026710999999977503,30.0,42.0,True,20,0.05,200
2,2,0.03695449999997891,30.0,63.0,True,20,0.05,200
3,3,0.04719139999997424,30.0,84.0,True,20,0.05,200
4,4,0.05733149999997522,30.0,105.0,True,20,0.05,200
5,5,0.06671569999997473,30.0,126.0,True,20,0.05,200
6,6,0.07657139999997753,30.0,147.0,True,20,0.05,200
7,7,0.08594579999999041,30.0,168.0,True,20,0.05,200
8,8,0.09672810000000709,30.0,189.0,True,20,0.05,200
9,9,0.10748150000000578,30.0,210.0,True,20,0.05,200
10,10,0.11729639999998653,30.0,231.0,True,20,0.05,200
11,11,0.12748929999997927,30.0,252.0,True,20,0.05,200
12,12,0.1371936999999548,30.0,273.0,True,20,0.05,200
13,13,0.14720180000000482,30.0,294.0,True,20,0.05,200
14,14,0.15739459999997507,30.0,315.0,True,20,0.05,200
15,15,0.16701929999999265,30.0,336.0,True,20,0.05,200
16,16,0.17691839999997683,30.0,357.0,True,20,0.05,200
17,17,0.18714109999996253,30.0,378.0,True,20,0.05,200
18,18,0.19725039999997307,30.0,399.0,True,20,0.05,200
19,19,0.2078007999999727,30.0,420.0,True,20,0.05,200
20,20,0.2176087999999936,30.0,441.0,True,20,0.05,200
21,21,0.22768899999999803,30.0,462.0,True,20,0.05,200
22,22,0.23732530000000907,30.0,483.0,True,20,0.05,200
23,23,0.24744529999998122,30.0,504.0,True,20,0.05,200
24,24,0.2580784999999537,30.0,525.0,True,20,0.05,200
25,25,0.26806069999997817,30.0,546.0,True,20,0.05,200
26,26,0.2780630999999971,30.0,567.0,True,20,0.05,200
27,27,0.2876769000000081,30.0,588.0,True,20,0.05,200
28,28,0.2979060999999774,30.0,609.0,True,20,0.05,200
29,29,0.3079860999999937,30.0,630.0,True,20,0.05,200
30,30,0.3178946999999539,30.0,651.0,True,20,0.05,200
31,31,0.3279002999999534,30.0,672.0,True,20,0.05,200
32,32,0.3376777999999945,30.0,693.0,True,20,0.05,200
33,33,0.3478285999999571,30.0,714.0,True,20,0.05,200
34,34,0.357699499999967,30.0,735.0,True,20,0.05,200
35,35,0.367112499999962,30.0,756.0,True,20,0.05,200
36,36,0.37713589999998476,30.0,777.0,True,20,0.05,200
37,37,0.3866302999999789,30.0,798.0,True,20,0.05,200
38,38,0.3964384999999879,30.0,819.0,True,20,0.05,200
39,39,0.4064232000000061,30.0,840.0,True,20,0.05,200
40,40,0.41564829999998665,30.0,861.0,True,20,0.05,200
41,41,0.42553549999996676,30.0,882.0,True,20,0.05,200
42,42,0.43472709999997505,30.0,903.0,True,20,0.05,200
43,43,0.44440819999999803,30.0,924.0,True,20,0.05,200
44,44,0.45405940000000555,30.0,945.0,True,20,0.05,200
45,45,0.46365459999998393,30.0,966.0,True,20,0.05,200
46,46,0.4735590999999886,30.0,987.0,True,20,0.05,200
47,47,0.482678299999975,30.0,1008.0,True,20,0.05,200
48,48,0.4924272000000087,30.0,1029.0,True,20,0.05,200
49,49,0.5016154999999571,30.0,1050.0,True,20,0.05,200
50,50,0.5111491999999771,30.0,1071.0,True,20,0.05,200
51,51,0.5207937999999785,30.0,1092.0,True,20,0.05,200
52,52,0.5302051999999549,30.0,1113.0,True,20,0.05,200
53,53,0.5398160999999959,30.0,1134.0,True,20,0.05,200
54,54,0.5488040999999839,30.0,1155.0,True,20,0.05,200
55,55,0.5584723000000054,30.0,1176.0,True,20,0.05,200
56,56,0.5676660999999967,30.0,1197.0,True,20,0.05,200
57,57,0.577073299999995,30.0,1218.0,True,20,0.05,200
58,58,0.5865023999999721,30.0,1239.0,True,20,0.05,200
59,59,0.5959406999999715,30.0,1260.0,True,20,0.05,200
60,60,0.6051880999999639,30.0,1281.0,True,20,0.05,200
61,61,0.6146210999999653,30.0,1302.0,True,20,0.05,200
62,62,0.6243076000000087,30.0,1323.0,True,20,0.05,200
63,63,0.6333457000000067,30.0,1344.0,True,20,0.05,200
64,64,0.6427732999999876,30.0,1365.0,True,20,0.05,200
65,65,0.6521346999999764,30.0,1386.0,True,20,0.05,200
66,66,0.6615128999999911,30.0,1407.0,True,20,0.05,200
67,67,0.6707776000000081,30.0,1428.0,True,20,0.05,200
68,68,0.6802796000000058,30.0,1449.0,True,20,0.05,200
69,69,0.6898331999999527,30.0,1470.0,True,20,0.05,200
70,70,0.6989939999999706,30.0,1491.0,True,20,0.05,200
71,71,0.7086069999999722,30.0,1512.0,True,20,0.05,200
72,72,0.7176385999999866,30.0,1533.0,True,20,0.05,200
73,73,0.7273890999999821,30.0,1554.0,True,20,0.05,200
74,74,0.7366482999999562,30.0,1575.0,True,20,0.05,200
75,75,0.7460942999999816,30.0,1596.0,True,20,0.05,200
76,76,0.7551969999999528,30.0,1617.0,True,20,0.05,200
77,77,0.7646338999999784,30.0,1638.0,True,20,0.05,200
78,78,0.7742164000000002,30.0,1659.0,True,20,0.05,200
79,79,0.7831751999999597,30.0,1680.0,True,20,0.05,200
80,80,0.7926808999999935,30.0,1701.0,True,20,0.05,200
81,81,0.8018900999999801,30.0,1722.0,True,20,0.05,200
82,82,0.8113078999999743,30.0,1743.0,True,20,0.05,200
83,83,0.8205798999999843,30.0,1764.0,True,20,0.05,200
84,84,0.8301588999999581,30.0,1785.0,True,20,0.05,200
85,85,0.8397594999999569,30.0,1806.0,True,20,0.05,200
86,86,0.848972099999969,30.0,1827.0,True,20,0.05,200
87,87,0.858618999999976,30.0,1848.0,True,20,0.05,200
88,88,0.8679096999999842,30.0,1869.0,True,20,0.05,200
89,89,0.8774852999999894,30.0,1890.0,True,20,0.05,200
90,90,0.8867849999999748,30.0,1911.0,True,20,0.05,200
